WORD,BROWN_FREQ,WORD_CATEGORY
PROBATION        ,39,N
TOUCHING         ,39,J
ALIGHT           ,40,J
ALIGHT           ,40,V
BLOODY           ,40,J
DOLE             ,40,N
DOLE             ,40,V
EXPERIMENTAL     ,40,J
INFERIOR         ,40,J
INFERIOR         ,40,N
MECHANISM        ,40,N
PACKET           ,40,N
ACCEPTABLE       ,41,J
APPLICANT        ,41,N
BOUNCE           ,41,N
BOUNCE           ,41,V
FILTHY           ,41,J
IMPACT           ,41,N
IMPACT           ,41,V
PRECISE          ,41,J
PROVIDENCE       ,41,N
RELUCTANT        ,41,J
TEXT             ,41,N
CYCLE            ,42,N
CYCLE            ,42,V
NINTH            ,42,J
PRESCRIBE        ,42,V
PROPHECY         ,42,N
REMAINDER        ,42,N
TIDY             ,42,J
TIDY             ,42,N
TIDY             ,42,V
TRASH            ,42,N
TRASH            ,42,V
AGGRESSIVE       ,43,J
BEARING          ,43,N
CANCEL           ,43,V
COMPLICATION     ,43,N
CRANE            ,43,N
CRANE            ,43,V
LIKING           ,43,N
MAXIMUM          ,43,N
POTENTIAL        ,43,J
POTENTIAL        ,43,N
CALENDAR         ,44,N
CURRY            ,44,N
CURRY            ,44,V
EXPANSION        ,44,N
INTERPRETATION   ,44,N
SHAN'T           ,44,V
ALLIED           ,45,J
BREAKDOWN        ,45,N
CORRESPONDENCE   ,45,N
DIARY            ,45,N
DISAPPROVE       ,45,V
EXHAUSTION       ,45,N
MANIFEST         ,45,J
MANIFEST         ,45,N
MANIFEST         ,45,V
RAINBOW          ,45,N
SCHOLARSHIP      ,45,N
SMACK            ,45,N
SMACK            ,45,V
PRESUME          ,46,V
REFEREE          ,46,N
STATESMAN        ,46,N
TACK             ,46,N
TACK             ,46,V
GALLON           ,47,N
KNIGHT           ,47,N
KNIGHT           ,47,V
NEUTRAL          ,47,J
NEUTRAL          ,47,N
SCHOLAR          ,47,N
SUPERVISE        ,47,V
FLICK            ,48,N
FLICK            ,48,V
FORGIVEN         ,48,V
MOUSE            ,48,N
MOUSE            ,48,V
SCULPTURE        ,48,N
SCULPTURE        ,48,V
TICK             ,48,N
TICK             ,48,V
RECOMMENDATION   ,49,N
SUCK             ,49,N
SUCK             ,49,V
SUPERB           ,49,J
TECHNIQUE        ,49,N
YEAST            ,49,N
AIRPORT          ,50,N
AMBITIOUS        ,50,J
BLUFF            ,50,J
BLUFF            ,50,N
BLUFF            ,50,V
COMMUNICATION    ,50,N
EXPENDITURE      ,50,N
GUIDANCE         ,50,N
LENT             ,50,V
PROMOTION        ,50,N
TRIVIAL          ,50,J
ZERO             ,50,N
GIN              ,51,N
SPIT             ,51,N
SPIT             ,51,V
DEALT            ,52,V
EPISODE          ,52,N
HISTORICAL       ,52,J
KINGDOM          ,52,N
VARIED           ,52,J
ALTITUDE         ,53,N
DUPLICATE        ,53,J
DUPLICATE        ,53,N
DUPLICATE        ,53,V
HESITATION       ,53,N
SUNNY            ,53,J
WITHDRAW         ,53,V
CLUE             ,54,N
EXTENSIVE        ,54,J
GAP              ,54,N
GEAR             ,54,N
GEAR             ,54,V
MANUSCRIPT       ,54,N
ARMISTICE        ,55,N
BARGE            ,55,N
CREAMY           ,55,J
CUPBOARD         ,55,N
DEFENSIVE        ,55,J
SITE             ,55,N
TIPTOE           ,55,N
ARCHITECTURE     ,56,N
CATHEDRAL        ,56,N
SPECIFIC         ,56,J
SPECIFIC         ,56,N
STATISTICS       ,56,N
COMPENSATION     ,57,N
DOCTRINE         ,57,N
PROFITABLE       ,57,J
TAPE             ,57,N
TAPE             ,57,V
CHAMPAGNE        ,58,N
CUBE             ,58,N
CUBE             ,58,V
DEFINE           ,58,V
FLOP             ,58,N
FLOP             ,58,V
PRIMARY          ,58,J
PRIMARY          ,58,N
SUPERVISION      ,58,N
SYMPTOM          ,58,N
VERSE            ,58,N
ARMCHAIR         ,59,N
AWARD            ,59,N
AWARD            ,59,V
DREARY           ,59,J
DRUNKEN          ,59,J
EQUIVALENT       ,59,J
FLAKE            ,59,N
FLAKE            ,59,V
FORMULA          ,59,N
SEVENTH          ,59,J
SEVENTY          ,59,J
SEVENTY          ,59,N
UNFAIR           ,59,J
BOUT             ,60,N
CRITICAL         ,60,J
DRILL            ,60,N
DRILL            ,60,V
STATUS           ,60,N
TRIBUTE          ,60,N
DENTIST          ,61,N
ENCOURAGEMENT    ,61,N
INDICATION       ,61,N
OBJECTIVE        ,61,J
OBJECTIVE        ,61,N
STRANGLE         ,61,V
TOOTH            ,61,N
TOOTH            ,61,V
UNBEARABLE       ,61,J
NINETY           ,62,J
NINETY           ,62,N
ORIGIN           ,62,N
SUPERVISOR       ,62,N
ANALYSIS         ,63,N
BATTERY          ,63,N
CHAPTER          ,63,N
CHEMICAL         ,63,J
COCK             ,63,N
COCK             ,63,V
COPE             ,63,N
COPE             ,63,V
EXPLODE          ,63,V
CONVENTIONAL     ,64,J
INFORMAL         ,64,J
INTENSITY        ,64,N
REEL             ,64,N
REEL             ,64,V
THEME            ,64,N
TRANSLATE        ,64,V
CLUSTER          ,65,N
CLUSTER          ,65,V
PATHETIC         ,65,J
PRIME            ,65,J
PRIME            ,65,N
PRIME            ,65,V
REPUBLIC         ,65,N
SIXTH            ,65,J
DRAFT            ,66,N
DRAFT            ,66,V
EDITION          ,66,N
QUERY            ,66,N
QUERY            ,66,V
REVELATION       ,66,N
TOPIC            ,66,J
TOPIC            ,66,N
UNEMPLOYED       ,66,J
OFFEND           ,67,V
PRIVACY          ,67,N
PROPAGANDA       ,67,N
RIPE             ,67,J
ANTIQUE          ,68,J
ANTIQUE          ,68,N
ASSISTANCE       ,68,N
FERRY            ,68,N
FERRY            ,68,V
FOCUS            ,68,N
FOCUS            ,68,V
NASTY            ,68,J
OUTLET           ,68,N
PREFERENCE       ,68,N
RELY             ,68,V
TROT             ,68,N
TROT             ,68,V
COMPETENT        ,69,J
INSTITUTE        ,69,N
INSTITUTE        ,69,V
LOGICAL          ,69,J
SPY              ,69,N
SPY              ,69,V
TENTH            ,69,J
THRESHOLD        ,69,N
ADVERTISEMENT    ,70,N
EXPLORE          ,70,V
NOISY            ,70,J
NOVELTY          ,70,N
PLUS             ,70,J
PLUS             ,70,N
RHYTHM           ,70,N
BARREL           ,71,N
CERTIFICATE      ,71,N
CERTIFICATE      ,71,V
CIRCULAR         ,71,J
COMPROMISE       ,71,N
COMPROMISE       ,71,V
TEMPORARY        ,71,J
TEMPTATION       ,71,N
ESCORT           ,72,N
ESCORT           ,72,V
EXTENSION        ,72,N
FOLLY            ,72,N
PARAGRAPH        ,72,N
PARAGRAPH        ,72,V
PROGRESSIVE      ,72,J
PROGRESSIVE      ,72,N
STUMP            ,72,N
STUMP            ,72,V
EXTEND           ,73,V
HIDEOUS          ,73,J
BARRIER          ,74,N
CLASSIC          ,74,J
CREATION         ,74,N
INTELLECTUAL     ,74,J
INTELLECTUAL     ,74,N
QUALIFY          ,74,V
SUBMIT           ,74,V
CANAL            ,75,N
COMMUNIST        ,75,N
EXPEDITION       ,75,N
LUNG             ,75,N
PLUG             ,75,N
PLUG             ,75,V
REGIMENT         ,75,N
REGIMENT         ,75,V
